Trimestre;arrondissement;prix_m2
T1 1997;9;1950
T4 1996;9;2160
T3 1996;9;2120
T2 1996;9;2210
T1 1996;9;2240
T4 1995;9;2200
T4 2025;10;8900
T3 2025;10;9040
T2 2025;10;8870
T1 2025;10;9050
T4 2024;10;8780
T3 2024;10;9020
T2 2024;10;8820
T1 2024;10;9170
T4 2023;10;9330
T3 2023;10;9550
T2 2023;10;9640
T1 2023;10;9760
T4 2022;10;9900
T3 2022;10;10120
T2 2022;10;10260
T1 2022;10;10080
T4 2021;10;10140
T3 2021;10;10300
T2 2021;10;10100
T1 2021;10;10210
T4 2020;10;10370
T3 2020;10;10330
T2 2020;10;10230
T1 2020;10;10080
T4 2019;10;9700
T3 2019;10;9580
T2 2019;10;9490
T1 2019;10;9320
T4 2018;10;9050
T3 2018;10;8860
T2 2018;10;8840
T1 2018;10;8460
T4 2017;10;8510
T3 2017;10;8430
T2 2017;10;8150
T1 2017;10;7990
T4 2016;10;7800
T3 2016;10;7740
T2 2016;10;7380
T1 2016;10;7540
T4 2015;10;7450
T3 2015;10;7310
T2 2015;10;7380
T1 2015;10;7400
T4 2014;10;7200
T3 2014;10;7370
T2 2014;10;7370
T1 2014;10;7670
T4 2013;10;7460
T3 2013;10;7430
T2 2013;10;7420
T1 2013;10;7300
T4 2012;10;7640
T3 2012;10;7500
T2 2012;10;7500
T1 2012;10;7150
T4 2011;10;7140
T3 2011;10;7400
T2 2011;10;7300
T1 2011;10;6810
T4 2010;10;6290
T3 2010;10;6220
T2 2010;10;5800
T1 2010;10;5740
T4 2009;10;5340
T3 2009;10;5370
T2 2009;10;5240
T1 2009;10;5500
T4 2008;10;5700
T3 2008;10;5760
T2 2008;10;5720
T1 2008;10;5560
T4 2007;10;5440
T3 2007;10;5400
T2 2007;10;5210
T1 2007;10;5090
T4 2006;10;5000
T3 2006;10;4940
T2 2006;10;4740
T1 2006;10;4650
T4 2005;10;4580
T3 2005;10;4440
T2 2005;10;4160
T1 2005;10;4110
T4 2004;10;3860
T3 2004;10;3680
T2 2004;10;3560
T1 2004;10;3290
T4 2003;10;3260
T3 2003;10;3320
T2 2003;10;3070
T1 2003;10;3080
T4 2002;10;2960
T3 2002;10;2760
T2 2002;10;2680
T1 2002;10;2550
T4 2001;10;2540
T3 2001;10;2550
T2 2001;10;2390
T1 2001;10;2300
T4 2000;10;2240
T3 2000;10;2310
T2 2000;10;2180
